Experiment,PSNR_Mean,PSNR_Std,SSIM_Mean,SSIM_Std
baseline,22.52710000822008,2.438114800672194,0.9621178,0.018613176
no_p_loss,22.52710000822008,2.438114800672194,0.9621178,0.018613176
no_f_loss,22.52710000822008,2.438114800672194,0.9621178,0.018613176
no_ms_loss,22.52710000822008,2.438114800672194,0.9621178,0.018613176
