Experiment,PSNR_Mean,PSNR_Std,SSIM_Mean,SSIM_Std
baseline,4.989144365375825,0.0,0.014364445069245202,0.0
no_p_loss,4.989144365747031,0.0,0.01436444512952553,0.0
no_f_loss,4.989144365368176,0.0,0.014364445092811507,0.0
no_ms_loss,4.989144365247003,0.0,0.014364444967869337,0.0
no_l1_loss,4.989144365041838,0.0,0.014364444999301382,0.0
no_l2_loss,4.989144365098438,0.0,0.014364445041551887,0.0
