Experiment,Sample_ID,PSNR,SSIM
baseline,0,4.989144365375825,0.014364445069245202
no_p_loss,0,4.989144365747031,0.01436444512952553
no_f_loss,0,4.989144365368176,0.014364445092811507
no_ms_loss,0,4.989144365247003,0.014364444967869337
no_l1_loss,0,4.989144365041838,0.014364444999301382
no_l2_loss,0,4.989144365098438,0.014364445041551887
